Table 35.,,,,,,,,,,,,,
ALIENS APPREHENDED BY PROGRAM AND BORDER PATROL SECTOR,INVESTIGATIONS SPECIAL AGENT IN CHARGE (SAC) JURISDICTION,,,,,,,,,,,,
,,,,,,,,,,,,,
City,State,,,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Newark,NJ,,,X,X,"1,094","2,079","1,038","4,508","5,585","5,539","5,589","4,380"
Philadelphia,PA,,,X,X,545,940,"4,127","4,883","5,358","5,668","5,092","4,980"
Phoenix,AZ,,,X,X,86,475,"18,512","13,031","17,558","14,953","13,113","10,941"
Saint Paul,MN,,,X,X,661,914,"3,132","4,747","7,371","7,770","6,960","5,505"
Salt Lake City,UT,,,X,X,296,576,"3,690","5,475","9,194","8,730","7,535","6,182"
San Antonio,TX,,,X,X,180,"1,327","3,948","17,199","24,337","28,292","28,947","25,658"
San Diego,CA,,,X,X,691,817,"12,382","12,031","10,608","13,016","11,196","6,521"
San Francisco,CA,,,X,X,974,"1,935","9,234","13,680","28,972","31,430","26,386","20,441"
Seattle,WA,,,X,X,624,889,"2,158","7,002","10,246","9,714","8,801","7,156"
Washington,DC,,,X,X,245,"1,274","1,906","4,851","5,069","8,322","7,383","5,557"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
X Not applicable.,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,
1  By 2008,no,,,,,,,,,,,,
2   Data for 2006 and 2007 include only arrests of fugitive and nonfugitive aliens under the National Fugitive Operations Program of ICE ERO; 2008 data include administrative arrests conducted by ICE ERO; data from 2009 to 2013 include arrests conducted by ICE ERO and arrests conducted under the 287(g) program.,,,,,,,,,,,,,
3   Formerly known as Marfa,TX,,,,,,,,,,,,
4   Livermore sector closed September 30,200,,,,,,,,,,,,
Source: U.S. Department of Homeland Security,Cu, and the Office of Enforcement and Removal Operations (ERO). ,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
HOMELAND SECURITY INVESTIGATIONS SAC JURISDICTION,,,,,,,,,,,,,
  Total administrative arrests,,,,"103,837","102,034","101,854","53,562","31,123","21,251","18,290","16,261","15,937","11,996"
Other SAC Jurisdictions abroad,,,,-,-,-,-,21,10,10,70,48,50
ENFORCEMENT AND REMOVAL OPERATIONS AREA OF RESPONSIBILITY,,,,,,,,,,,,,
  Total administrative arrests,,,,X,X,"15,462","30,407","288,811","311,920","314,915","322,093","290,622","229,698"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BORDER PATROL SECTOR  ,,,,,,,,,,,,,
   Total apprehensions,,,," 1,160,395 ","1,189,031","1,089,096","876,803","723,865","556,032","463,382","340,252","364,768","420,789"
Southwest sectors,,,," 1,139,282 ","1,171,462","1,071,979","858,737","705,049","540,851","447,731","327,577","356,873","414,397"
Other sectors,,,," 21,113 ","17,569","17,117","18,066","18,816","15,181","15,651","12,675","7,895","6,392"
Headquarters,,,,X,X,-,-,-,21,15,38,31,12
Unknown,,,,X,X,-,-,"167,505","126,225","19,524","3,759","2,788","1,484"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
